"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.273662263E1,1.129412293E0,1.339980662E-1,-1.011206818E1
9.273873341E1,1.134197950E0,1.292124242E-1,-1.011206818E1
9.274084419E1,1.124626637E0,1.148554832E-1,-1.012642574E1
9.274295497E1,1.129412293E0,1.196411327E-1,-1.012642574E1
9.274506575E1,1.143769264E0,1.339980662E-1,-1.014078236E1
9.274717648E1,1.124626637E0,1.292124242E-1,-1.013599682E1
9.274928726E1,1.134197950E0,1.435693651E-1,-1.015035343E1
9.275139804E1,1.138983607E0,1.435693651E-1,-1.013121128E1
9.275350882E1,1.129412293E0,1.339980662E-1,-1.014078236E1
9.275561955E1,1.148554921E0,1.244267747E-1,-1.014078236E1
9.275773033E1,1.124626637E0,1.292124242E-1,-1.012642574E1
9.275984112E1,1.124626637E0,1.435693651E-1,-1.012642574E1
9.276195226E1,1.119840980E0,1.483550072E-1,-1.010728264E1
9.276406263E1,1.119840980E0,1.387837082E-1,-1.009292603E1
9.276617341E1,1.119840980E0,1.339980662E-1,-1.008335495E1
9.276828419E1,1.119840980E0,1.387837082E-1,-1.007856941E1
9.277039497E1,1.115055323E0,1.292124242E-1,-1.005464077E1
9.277250570E1,1.119840980E0,1.483550072E-1,-1.006421185E1
9.277461648E1,1.119840980E0,1.531406492E-1,-1.008814049E1
9.277672726E1,1.105484009E0,1.579262912E-1,-1.006421185E1
9.277883804E1,1.115055323E0,1.387837082E-1,-1.007856941E1
9.278094877E1,1.115055323E0,1.483550072E-1,-1.006899738E1
9.278305955E1,1.119840980E0,1.387837082E-1,-1.004985523E1
9.278517033E1,1.100698471E0,1.435693651E-1,-1.007378292E1
9.278728112E1,1.129412293E0,1.531406492E-1,-1.007856941E1
9.278939184E1,1.119840980E0,1.483550072E-1,-1.010249710E1
9.279150263E1,1.124626637E0,1.339980662E-1,-1.011685371E1
9.279361341E1,1.129412293E0,1.387837082E-1,-1.010728264E1
9.279572419E1,1.129412293E0,1.483550072E-1,-1.011685371E1
9.279783492E1,1.138983607E0,1.722832322E-1,-1.013599682E1
9.279994570E1,1.134197950E0,1.483550072E-1,-1.014078236E1
9.280205648E1,1.129412293E0,1.387837082E-1,-1.013121128E1
9.280416726E1,1.129412293E0,1.435693651E-1,-1.015992451E1
9.280627799E1,1.129412293E0,1.387837082E-1,-1.015513897E1
