"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.295914730E-1,1.970038936E-2,-1.125518382E-1,-2.826776803E-1
7.317023070E-1,2.336557768E-2,-8.933897316E-2,-2.790125012E-1
7.338130880E-1,2.580903657E-2,-6.490438432E-2,-2.753472924E-1
7.359238690E-1,2.825249545E-2,-4.046979174E-2,-2.692386508E-1
7.380346510E-1,3.069595434E-2,-1.603520103E-2,-2.643517256E-1
7.401454320E-1,3.436114267E-2,8.399390616E-3,-2.594648004E-1
7.422562130E-1,3.313941509E-2,3.283398226E-2,-2.557996213E-1
7.443669940E-1,3.924806044E-2,5.849030241E-2,-2.496909797E-1
7.464777760E-1,3.924806044E-2,8.292489499E-2,-2.460257858E-1
7.485885570E-1,3.924806044E-2,1.073594838E-1,-2.399171442E-1
7.506993380E-1,4.169152305E-2,1.330158114E-1,-2.362519503E-1
7.528101190E-1,4.169152305E-2,1.513417512E-1,-2.325867712E-1
7.549209010E-1,4.169152305E-2,1.708894223E-1,-2.289215773E-1
7.570316820E-1,4.413498193E-2,1.892153621E-1,-2.252563834E-1
7.591424630E-1,4.169152305E-2,2.026543915E-1,-2.203694731E-1
7.612531920E-1,4.169152305E-2,2.160934210E-1,-2.179260105E-1
7.633639730E-1,3.924806044E-2,2.258672565E-1,-2.118173689E-1
7.654747550E-1,4.169152305E-2,2.344193608E-1,-2.081521749E-1
7.675855360E-1,4.046979174E-2,2.417497337E-1,-2.044869810E-1
7.696963170E-1,4.046979174E-2,2.429714650E-1,-2.008218020E-1
7.718070980E-1,4.046979174E-2,2.417497337E-1,-1.959348768E-1
7.739178800E-1,3.802633286E-2,2.405280024E-1,-1.910479665E-1
7.760286610E-1,3.924806044E-2,2.344193608E-1,-1.861610413E-1
7.781394420E-1,3.802633286E-2,2.283107042E-1,-1.824958473E-1
7.802502230E-1,3.680460155E-2,2.209803313E-1,-1.776089370E-1
7.823610050E-1,3.558287397E-2,2.112064958E-1,-1.715002805E-1
7.844717860E-1,3.558287397E-2,1.965457499E-1,-1.678351015E-1
