"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.455306526E0,4.357268810E-1,5.008306503E-1,1.509380341E-2
1.460306526E0,4.887473583E-1,5.202893019E-1,8.413314819E-2
1.465306526E0,5.468134880E-1,5.922181606E-1,1.783256531E-1
1.470306526E0,3.028914690E0,-1.925098896E-2,3.931628227E0
1.475306526E0,4.048109055E0,1.210249662E-1,6.494576454E0
1.480306526E0,4.153255463E0,-2.418463230E-1,2.209615707E0
1.485306526E0,4.236948967E0,-3.247036934E-1,-2.752376556E0
1.490306526E0,4.457841396E0,8.694803715E-2,-4.368424416E0
1.495306526E0,4.298285961E0,5.952916145E-1,-3.135016441E0
1.500306526E0,3.654710770E0,7.646567225E-1,-1.048583984E-1
1.505306526E0,2.993070364E0,6.162567139E-1,2.469944477E0
1.510306526E0,2.666534662E0,3.040726185E-1,2.838723183E0
1.515306526E0,2.675651550E0,-2.058470249E-2,1.279347420E0
1.520306526E0,2.704891682E0,-3.218815327E-1,-6.922760010E-1
1.525306526E0,2.551648140E0,-6.007149220E-1,-1.736576080E0
1.530306526E0,2.205855608E0,-8.368704319E-1,-1.610836029E0
1.535306526E0,1.735921860E0,-9.868531227E-1,-6.514482498E-1
1.540306526E0,1.252522469E0,-1.038407207E0,5.322656631E-1
1.545306526E0,7.295176983E-1,-1.004222035E0,1.348189831E0
1.550306526E0,2.831251621E-1,-9.707282782E-1,1.519191742E0
1.555306526E0,-2.935409546E-2,-9.392580986E-1,9.784946442E-1
1.560306526E0,-2.183325291E-1,-8.939945698E-1,3.648281097E-2
1.565306526E0,-3.783693314E-1,-8.230642080E-1,-6.838684082E-1
1.570306526E0,-5.120327473E-1,-7.381067276E-1,-9.668626785E-1
1.575306526E0,-6.515426636E-1,-6.598343849E-1,-9.144458771E-1
1.580306526E0,-8.264813423E-1,-5.703458786E-1,-5.577516556E-1
1.585306526E0,-9.536118507E-1,-4.761785269E-1,-1.212911606E-1
1.590306526E0,-1.013309240E0,-4.131608009E-1,1.628293991E-1
1.595306526E0,-1.016621590E0,-3.930999041E-1,1.582813263E-1
1.600306526E0,-9.999313354E-1,-4.145592451E-1,-9.212493896E-2
1.605306526E0,-9.698669910E-1,-4.048854113E-1,-3.015317917E-1
1.610306526E0,-9.357526302E-1,-3.684451580E-1,-2.763090134E-1
1.615306526E0,-9.021298885E-1,-3.614561558E-1,-5.679988861E-2
1.620306526E0,-8.038697243E-1,-3.846597672E-1,2.304410934E-1
1.625306526E0,-5.862214565E-1,-4.457762241E-1,3.488960266E-1
1.630306526E0,-3.132381439E-1,-5.153087378E-1,1.667709351E-1
1.635306526E0,-4.605913162E-2,-5.661436319E-1,-1.585655212E-1
1.640306526E0,1.469314098E-1,-5.973924398E-1,-4.411392212E-1
1.645306526E0,2.662284374E-1,-6.763659716E-1,-6.060352325E-1
1.650306526E0,-1.047086716E-1,-1.237060666E0,-7.638893127E-1
1.655306526E0,-9.847021103E-2,-1.475410581E0,-5.804519653E-1
1.660306526E0,4.086661339E-2,-1.444316983E0,-1.454067230E-1
1.665306526E0,1.581590176E-1,-1.216984868E0,4.596252441E-1
1.670306526E0,2.202179432E-1,-9.816162586E-1,9.374523163E-1
1.675306526E0,2.922580242E-1,-8.156806827E-1,9.081230164E-1
1.680306526E0,3.931298256E-1,-6.713520288E-1,3.829002380E-1
1.685306526E0,4.778940678E-1,-5.864155293E-1,-2.618284225E-1
1.690306526E0,4.896345139E-1,-5.181524158E-1,-6.379308701E-1
1.695306526E0,4.183418751E-1,-4.428975582E-1,-6.253614426E-1
1.700306526E0,3.973035812E-1,-3.382234573E-1,-2.577133179E-1
1.705306526E0,6.335206032E-1,-9.714806080E-2,5.061235428E-1
1.710306526E0,7.386932373E-1,6.165391207E-2,6.226530075E-1
1.715306526E0,7.811889648E-1,6.173363328E-2,3.970241547E-1
1.720306526E0,8.303561211E-1,7.295846939E-3,2.281875610E-1
1.725306526E0,9.518351555E-1,-4.949375987E-2,1.191816330E-1
1.730306526E0,1.077612877E0,-6.166845560E-2,1.075115204E-1
1.735306526E0,1.146320343E0,-1.045344174E-1,2.276763916E-1
1.740306526E0,1.226719379E0,-1.585921645E-1,4.182615280E-1
1.745306526E0,1.280514717E0,-1.759314835E-1,6.323480606E-1
1.750306526E0,1.283454895E0,-1.393605620E-1,9.070310593E-1
1.755306526E0,1.230541706E0,-7.993474603E-3,1.147481441E0
1.760306526E0,1.149380207E0,1.253899038E-1,1.176365376E0
1.765306526E0,1.054257870E0,1.483700275E-1,9.400444031E-1
1.770306526E0,1.002427101E0,1.685842276E-1,4.589595795E-1
1.775306526E0,9.315853119E-1,2.324907333E-1,4.833030701E-2
1.780306526E0,8.634662628E-1,3.121306598E-1,-1.045656204E-1
1.785306526E0,8.368086815E-1,2.842622399E-1,-2.488269806E-1
1.790306526E0,7.997546196E-1,2.013443112E-1,-3.463945389E-1
1.795306526E0,6.537241936E-1,9.880092740E-2,-2.044353485E-1
1.800306526E0,4.437780380E-1,-2.649560571E-2,-1.122837067E-1
1.805306526E0,1.838045120E-1,-1.270173788E-1,-2.237834930E-1
1.810306526E0,-7.175731659E-2,-2.270548344E-1,-3.332262039E-1
1.815306526E0,-2.994587421E-1,-4.007536173E-1,-6.910934448E-1
1.820306526E0,-4.952931404E-1,-6.015187502E-1,-1.035316467E0
1.825306526E0,-7.396636009E-1,-8.082193732E-1,-8.571596146E-1
1.830306526E0,-1.080523968E0,-9.822685122E-1,-5.029687881E-1
1.835306526E0,-1.458702564E0,-1.068425536E0,-3.630218506E-1
1.840306526E0,-1.828458071E0,-1.138316631E0,-4.696426392E-1
1.845306526E0,-2.152048111E0,-1.223916292E0,-7.342710495E-1
1.850306526E0,-2.515800953E0,-1.291831255E0,-9.302263260E-1
1.855306526E0,-2.914504290E0,-1.300005913E0,-9.651613235E-1
1.860306526E0,-3.350677967E0,-1.264145732E0,-7.568902969E-1
1.865306526E0,-4.053987026E0,-1.160778761E0,-6.371183395E-1
1.870306526E0,-4.789396763E0,-1.001674056E0,-7.250289917E-1
1.875306526E0,-5.275219917E0,-8.012269735E-1,-9.691019058E-1
