"Frequency[kHz]","Channel[dBu]"
43.82133484,-51.95572000
43.86901855,-51.38230000
43.91670227,-51.63413000
43.96438599,-54.26570000
44.01206970,-55.90328000
44.05975342,-53.23027000
44.10743713,-54.65772000
44.15512085,-53.77935000
44.20280457,-51.70155000
44.25048828,-49.82821000
44.29817200,-49.77928000
44.34585571,-55.62277000
44.39353943,-60.41776000
44.44122314,-53.57708000
44.48890686,-54.04655000
44.53659058,-55.61064000
44.58427429,-52.22887000
44.63195801,-54.27481000
44.67964172,-67.73398000
44.72732544,-55.67454000
44.77500916,-53.20725000
44.82269287,-54.41435000
44.87037659,-53.90965000
44.91806030,-52.50217000
44.96574402,-54.72067000
45.01342773,-56.45909000
45.06111145,-57.77256000
45.10879517,-74.82893000
45.15647888,-58.81887000
45.20416260,-56.21166000
45.25184631,-59.25072000
45.29953003,-65.76855000
45.34721375,-60.05444000
45.39489746,-58.57503000
45.44258118,-56.43077000
45.49026489,-61.90521000
45.53794861,-68.05953000
45.58563232,-75.43684000
45.63331604,-64.44799000
45.68099976,-61.55772000
45.72868347,-54.80457000
45.77636719,-57.48820000
45.82405090,-79.64776000
45.87173462,-58.10581000
45.91941833,-55.87608000
45.96710205,-59.00231000
46.01478577,-56.58739000
46.06246948,-60.50736000
46.11015320,-56.32634000
46.15783691,-54.39209000
46.20552063,-57.12075000
46.25320435,-62.79974000
46.30088806,-58.35091000
46.34857178,-58.05962000
46.39625549,-54.25186000
46.44393921,-56.45056000
46.49162292,-74.01167000
46.53930664,-64.64782000
46.58699036,-54.30112000
46.63467407,-54.00051000
46.68235779,-69.92894000
46.73004150,-65.53613000
46.77772522,-57.36591000
46.82540894,-51.08452000
46.87309265,-52.99972000
46.92077637,-56.98406000
46.96846008,-57.36499000
47.01614380,-59.66360000
47.06382751,-69.09743000
47.11151123,-58.11092000
47.15919495,-58.16178000
47.20687866,-60.04667000
47.25456238,-61.90346000
47.30224609,-56.20850000
47.34992981,-59.61615000
47.39761353,-66.47063000
47.44529724,-57.79394000
47.49298096,-56.10762000
47.54066467,-65.34148000
47.58834839,-62.94224000
47.63603210,-60.67211000
47.68371582,-65.44402000
47.73139954,-60.08028000
47.77908325,-63.33082000
47.82676697,-71.74901000
47.87445068,-60.81192000
47.92213440,-54.14456000
47.96981812,-52.93899000
48.01750183,-59.67631000
48.06518555,-78.57489000
48.11286926,-70.64508000
48.16055298,-59.38135000
48.20823669,-54.96556000
48.25592041,-54.99522000
48.30360413,-56.21262000
48.35128784,-54.15718000
48.39897156,-56.24032000
48.44665527,-61.91106000
48.49433899,-57.94211000
48.54202271,-57.83386000
48.58970642,-60.64792000
48.63739014,-64.55886000
48.68507385,-57.22502000
48.73275757,-55.90746000
48.78044128,-68.24371000
48.82812500,-64.58017000
48.87580872,-57.34638000
48.92349243,-58.49469000
48.97117615,-63.34835000
49.01885986,-66.73706000
49.06654358,-58.69999000
49.11422729,-54.15623000
49.16191101,-60.16365000
49.20959473,-59.01346000
49.25727844,-56.33691000
49.30496216,-58.74261000
49.35264587,-60.25904000
49.40032959,-61.93485000
49.44801331,-70.85794000
49.49569702,-70.75602000
49.54338074,-69.09949000
49.59106445,-72.22572000
49.63874817,-63.30223000
