"Frequency[kHz]","Channel A[dBu]"
48.20823669,-71.98781000
48.25592041,-65.99521000
48.30360413,-59.55001000
48.35128784,-57.72177000
48.39897156,-54.20542000
48.44665527,-57.30013000
48.49433899,-59.15264000
48.54202271,-75.38350000
48.58970642,-63.15426000
48.63739014,-61.81902000
48.68507385,-60.26552000
48.73275757,-55.10603000
48.78044128,-56.90647000
48.82812500,-114.26010000
48.87580872,-58.28754000
48.92349243,-58.68779000
48.97117615,-62.41722000
49.01885986,-60.28151000
49.06654358,-67.18240000
49.11422729,-58.95533000
49.16191101,-68.62219000
49.20959473,-54.36695000
49.25727844,-57.40537000
49.30496216,-63.46286000
49.35264587,-60.61706000
49.40032959,-54.33229000
49.44801331,-52.43459000
49.49569702,-56.57584000
49.54338074,-57.25773000
49.59106445,-57.94521000
49.63874817,-57.33150000
49.68643188,-62.87415000
49.73411560,-60.44924000
49.78179932,-52.06189000
49.82948303,-51.97071000
49.87716675,-57.89668000
49.92485046,-66.28966000
49.97253418,-65.01941000
50.02021790,-60.41654000
50.06790161,-66.14847000
50.11558533,-75.56420000
50.16326904,-57.60785000
50.21095276,-52.70998000
50.25863647,-52.32498000
50.30632019,-53.78915000
50.35400391,-57.69443000
50.40168762,-56.75195000
50.44937134,-53.53497000
50.49705505,-52.96988000
50.54473877,-56.68606000
50.59242249,-60.50038000
50.64010620,-56.48760000
50.68778992,-54.29928000
50.73547363,-51.84332000
50.78315735,-51.61143000
